2662.6388  290.455  108.357
3567.9378  140.775  85.379
3000.6655  340.498  241.951
2958.8256  118.577  59.486
3000.6524  143.577  64.764
2499.9024  133.706  125.636
2499.982  202.557  177.884
3000.6524  118.691  40.803
1056.9778  108.875  41.125
1057.9623  146.937  76.337
1106.7102  110.617  82.065
1044.9376  155.956  68.691
1072.9515  169.804  133.802
1074.8609  111.215  172.535
1075.97  119.126  79.043
1072.9515  172.554  118.727
1075.0128  108.282  102.742
1075.8127  131.961  86.303
1075.8645  214.731  96.835
1105.9481  178.414  131.422
1139.7088  192.549  138.828
1139.8574  211.382  107.172
1141.6916  132.301  97.255
1142.6651  130.681  129.788
731.0149  104.817  93.536
2958.8956  209.946  81.501
3000.7758  118.868  158.379
1484.8365  NA  -0.003
1484.8365  NA  -0.002
1484.8365  NA  -0.003
